"uuid","time_begin","time_end","distance","origin_lat","origin_lng","destination_lat","destination_lng","type","pass_is","jam"
"26b51bf63ba84999a1dea2c070ceda0d","2022-11-08 17:01:50","2022-11-08 17:55:08",47813,36.4751981,127.2763573,36.3017815,127.4421956,"StoD","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-19 07:51:47","2022-10-19 08:23:42",16005,36.478333,127.299199,36.402855,127.400025,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-19 18:01:34","2022-10-19 18:52:10",15658,36.410827,127.394265,36.4781,127.295959,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-20 08:01:53","2022-10-20 08:30:55",15190,36.477859,127.310842,36.402936,127.399982,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-20 19:47:14","2022-10-20 20:04:22",11713,36.43462,127.388359,36.478267,127.296314,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-21 07:53:52","2022-10-21 08:27:09",16397,36.477383,127.295799,36.402927,127.399986,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-21 18:57:53","2022-10-21 19:35:17",16782,36.40281,127.397705,36.479199,127.296776,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-22 12:20:21","2022-10-22 12:33:34",12177,36.477573,127.295574,36.432111,127.388871,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-22 17:56:39","2022-10-22 18:29:12",25007,36.348965,127.394419,36.478255,127.296344,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-23 16:47:27","2022-10-23 17:00:22",11162,36.477135,127.295834,36.434812,127.384102,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-23 17:41:49","2022-10-23 18:02:47",11180,36.437916,127.388747,36.479027,127.296882,"DtoS","false","false"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-24 08:05:38","2022-10-24 08:44:07",17026,36.478067,127.295739,36.402673,127.399865,"StoD","false","true"
"27b5fd7addc54f2ab13a90ed0515f139","2022-10-24 19:27:36","2022-10-24 19:44:22",11678,36.43462,127.388201,36.478256,127.296341,"DtoS","false","false"
